operator_id,calls_missed_ratio,avg_wait_time,calls_out_ratio,calls_in_ratio,internal_calls_ratio,crit_calls_missed,crit_wait_time,crit_low_outbound,crit_low_inbound,crit_high_internal,inefficiency_score,criterios_negativos,efficiency_class,uso_interno_excesivo,efficiency_binary
879896,0.0,27.33333333333333,93.76344086021506,6.236559139784946,12.82051282051282,0,0,0,0,0,0,0,Eficiente,False,1.0
879898,0.0,29.473684210526315,98.57787501709284,1.4221249829071516,7.048458149779736,0,0,0,0,0,0,0,Eficiente,False,1.0
880020,0.0,7.714285714285714,84.44444444444444,15.555555555555555,15.0,0,0,0,0,0,0,0,Eficiente,False,1.0
880022,0.0,14.0,95.93908629441624,4.060913705583756,11.428571428571429,0,0,0,0,0,0,0,Eficiente,False,1.0
880026,0.0,7.944444444444445,98.9247311827957,1.0752688172043012,7.142857142857142,0,0,0,0,0,0,0,Eficiente,False,1.0
880028,0.0,8.365853658536585,97.5390625,2.4609375,3.4653465346534658,0,0,0,0,0,0,0,Eficiente,False,1.0
882476,0.0,31.666666666666668,0.0,100.0,0.0,0,0,1,0,0,1,1,Eficiente,False,1.0
882478,0.0,38.0,25.0,75.0,66.66666666666666,0,0,0,0,1,1,1,Eficiente,True,1.0
882680,3.0303030303030303,37.0,0.0,100.0,4.651162790697675,1,0,1,0,0,2,2,Potencialmente ineficiente,False,
882684,0.6525285481239804,190.52,51.88383045525903,48.11616954474097,1.948051948051948,1,1,0,0,0,2,2,Potencialmente ineficiente,False,
882686,0.6527415143603132,165.75,79.01369863013699,20.98630136986301,2.6785714285714284,1,1,0,0,0,2,2,Potencialmente ineficiente,False,
882688,0.0,336.5,74.13793103448276,25.86206896551724,0.0,0,1,0,0,0,1,1,Eficiente,False,1.0
882690,1.1695906432748535,322.8181818181818,89.23173803526448,10.768261964735515,1.5873015873015872,1,1,0,0,0,2,2,Potencialmente ineficiente,False,
883940,0.0,15.2,99.05956112852664,0.9404388714733544,0.0,0,0,0,0,0,0,0,Eficiente,False,1.0
883942,0.0,15.514285714285714,96.3455149501661,3.654485049833888,0.6711409395973155,0,0,0,0,0,0,0,Eficiente,False,1.0
884294,0.0,6.0,0.0,100.0,0.0,0,0,1,0,0,1,1,Eficiente,False,1.0
